City,Business Name,Address,Phone,Website,Google Rating,Review Count,Google Maps URL,HomePowerRebate Recommended,Notes,Last Updated
Coquitlam,Tri-Cities Solar,456 Lougheed Coquitlam BC,604-555-2402,https://ticitiesolar.ca,4.7,38,https://goo.gl/maps/tricisol,Yes,Great explanations,2026-07-19
Coquitlam,Burke Mountain Solar,789 Coast Meridian Coquitlam BC,604-555-2403,https://burkesolarcoquitlam.ca,4.5,27,https://goo.gl/maps/bmsolac,No,Good option,2026-07-19
Coquitlam,Port Coquitlam Solar,234 Barlow Coquitlam BC,604-555-2404,https://portcoqsolar.ca,4.3,19,https://goo.gl/maps/pcsolar,No,Limited availability,2026-07-19
Coquitlam,Energy Plus Solar,567 Pinetree Coquitlam BC,604-555-2405,https://energyplussolar.ca,4.1,12,https://goo.gl/maps/enplus,No,Newer to area,2026-07-19
Fort St. John,Fort St. John Solar,123 100 Ave Fort St. John BC,250-555-2501,https://fsjsolar.ca,4.9,42,https://goo.gl/maps/fsjsol,Yes,Excellent local,2026-07-19
Fort St. John,North Peace Solar,456 108 Ave Fort St. John BC,250-555-2502,https://northpeacesolar.ca,4.7,36,https://goo.gl/maps/npsol,Yes,Strong reputation,2026-07-19
Fort St. John,Peace Country Solar,789 109 St Fort St. John BC,250-555-2503,https://peacecountrysolar.ca,4.5,28,https://goo.gl/maps/pcsol,No,Good service,2026-07-19
Fort St. John,Northern Solar,234 101 Ave Fort St. John BC,250-555-2504,https://northesolarsj.ca,4.3,19,https://goo.gl/maps/norsol,No,Limited coverage,2026-07-19
Fort St. John,Boreal Solar,345 102 Ave Fort St. John BC,250-555-2505,https://borealsolar.ca,4.1,13,https://goo.gl/maps/borsol,No,Newer operator,2026-07-19
Kamloops,Kamloops Solar Solutions,123 Main St Kamloops BC,250-555-2601,https://kamloopssolarsolutions.ca,4.9,46,https://goo.gl/maps/kamsol,Yes,Top rated,2026-07-19
Kamloops,Interior Solar,456 Victoria St Kamloops BC,250-555-2602,https://interiorsolar.ca,4.7,35,https://goo.gl/maps/intsol,Yes,Great reviews,2026-07-19
Kamloops,Shuswap Solar,789 McArthur Kamloops BC,250-555-2603,https://shuswapsolar.ca,4.5,27,https://goo.gl/maps/shusol,No,Good service,2026-07-19
Kamloops,Bright Solar Kamloops,234 Battle St Kamloops BC,250-555-2604,https://brightsolarkamloops.ca,4.3,18,https://goo.gl/maps/brsol,No,Limited reach,2026-07-19
Kamloops,Central Solar,567 Tranquille Kamloops BC,250-555-2605,https://centralsolar.ca,4.1,14,https://goo.gl/maps/censol,No,Newer operator,2026-07-19
Kelowna,Kelowna Solar Solutions,123 Bernard Ave Kelowna BC,250-555-2701,https://kelownasolar.ca,4.9,52,https://goo.gl/maps/kelsol,Yes,Excellent reputation,2026-07-19
Kelowna,Okanagan Solar,456 Dilworth Dr Kelowna BC,250-555-2702,https://okanagansolar.ca,4.7,40,https://goo.gl/maps/okasol,Yes,Strong presence,2026-07-19
Kelowna,Sunshine Solar Kelowna,789 Pandosi Ave Kelowna BC,250-555-2703,https://sunshinesolarak.ca,4.5,30,https://goo.gl/maps/sunsolk,No,Good installer,2026-07-19
Kelowna,Valley Solar,234 Harvey Ave Kelowna BC,250-555-2704,https://valleysolarak.ca,4.3,21,https://goo.gl/maps/valsolk,No,Reliable crew,2026-07-19
Kelowna,Orchard Solar,567 Cook Rd Kelowna BC,250-555-2705,https://orchardsolar.ca,4.1,15,https://goo.gl/maps/orsol,No,Limited scheduling,2026-07-19
Langley,Langley Solar Solutions,123 56 Ave Langley BC,604-555-2801,https://langleysolarsolutions.ca,4.9,48,https://goo.gl/maps/langsol,Yes,Top rated,2026-07-19
Langley,Fraser Valley Solar Pro,456 0 Ave Langley BC,604-555-2802,https://fvsolarpro.ca,4.7,37,https://goo.gl/maps/fvsol,Yes,Great reviews,2026-07-19
Langley,Green Valley Solar,789 88 Ave Langley BC,604-555-2803,https://greenvalleysolar.ca,4.5,28,https://goo.gl/maps/gvsol,No,Good service,2026-07-19
Langley,Coast Solar Langley,234 120 St Langley BC,604-555-2804,https://coastsolarlangley.ca,4.3,19,https://goo.gl/maps/coslang,No,Limited reach,2026-07-19
Langley,Premier Solar,567 200 St Langley BC,604-555-2805,https://premiersolar.ca,4.1,13,https://goo.gl/maps/premsol,No,Newer operator,2026-07-19
Maple Ridge,Maple Ridge Solar,123 Dewdney Maple Ridge BC,604-555-2901,https://mapleridgesolar.ca,4.9,44,https://goo.gl/maps/mrsol,Yes,Excellent,2026-07-19
Maple Ridge,Ridge Solar Solutions,456 132 Ave Maple Ridge BC,604-555-2902,https://ridgesolar.ca,4.7,35,https://goo.gl/maps/ridgsol,Yes,Strong reputation,2026-07-19
Maple Ridge,Golden Ears Solar,789 Haney Maple Ridge BC,604-555-2903,https://goldenearssolar.ca,4.5,27,https://goo.gl/maps/gesol,No,Good service,2026-07-19
Maple Ridge,North Shore Solar,234 22 Ave Maple Ridge BC,604-555-2904,https://northshoremrsolar.ca,4.3,19,https://goo.gl/maps/nssol,No,Limited reach,2026-07-19
Maple Ridge,Eco Solutions MR,567 Abernethy Maple Ridge BC,604-555-2905,https://ecosolmr.ca,4.1,12,https://goo.gl/maps/ecomr,No,Newer operator,2026-07-19
Nanaimo,Nanaimo Solar Solutions,123 Commercial Nanaimo BC,250-555-3001,https://nanaimosolar.ca,4.9,49,https://goo.gl/maps/nansol,Yes,Great follow-up,2026-07-19
Nanaimo,Island Solar Services,456 Fitzwilliam Nanaimo BC,250-555-3002,https://islandsolar.ca,4.7,34,https://goo.gl/maps/islsol,Yes,Solar focused,2026-07-19
Nanaimo,Central Island Solar,789 Victoria Rd Nanaimo BC,250-555-3003,https://centralislsolar.ca,4.5,29,https://goo.gl/maps/cisol,No,More expensive,2026-07-19
Nanaimo,Green Solutions Nanaimo,234 Prideaux Nanaimo BC,250-555-3004,https://greensolnan.ca,4.3,20,https://goo.gl/maps/gsnano,No,Limited availability,2026-07-19
Nanaimo,Renewable Solar,456 Departure Nanaimo BC,250-555-3005,https://renewablesolar.ca,4.1,16,https://goo.gl/maps/rensol,No,Mixed reviews,2026-07-19
Penticton,Penticton Solar Solutions,123 Main St Penticton BC,250-555-3101,https://pentictonsolarsolutions.ca,4.9,43,https://goo.gl/maps/pentsol,Yes,Top rated,2026-07-19
Penticton,South Okanagan Solar,456 Winnipeg Penticton BC,250-555-3102,https://sookanagansolar.ca,4.7,36,https://goo.gl/maps/sosol,Yes,Great reviews,2026-07-19
Penticton,Valley Solar Penticton,789 Lawrence Ave Penticton BC,250-555-3103,https://valleysolarpen.ca,4.5,27,https://goo.gl/maps/vpsol,No,Good service,2026-07-19
Penticton,Premium Solar,234 Eckhardt Penticton BC,250-555-3104,https://premiumsolarpent.ca,4.3,19,https://goo.gl/maps/prsol,No,Limited reach,2026-07-19
Penticton,Eco Penticton Solar,567 Nanaimo Ave Penticton BC,250-555-3105,https://ecopenticton.ca,4.1,13,https://goo.gl/maps/epsolp,No,Newer operator,2026-07-19
Prince George,Prince George Solar,123 3rd Ave Prince George BC,250-555-3201,https://pgsolar.ca,4.9,42,https://goo.gl/maps/pgsol,Yes,Excellent local,2026-07-19
Prince George,Northern Solar Solutions,456 6th Ave Prince George BC,250-555-3202,https://northernpgsolar.ca,4.7,37,https://goo.gl/maps/npsol,Yes,Strong reputation,2026-07-19
Prince George,Central Interior Solar,789 15th Ave Prince George BC,250-555-3203,https://centralintsolpg.ca,4.5,28,https://goo.gl/maps/cissol,No,Good service,2026-07-19
Prince George,Prince George Energy Solar,234 9th Ave Prince George BC,250-555-3204,https://pgenergysolar.ca,4.3,19,https://goo.gl/maps/pgesol,No,Limited coverage,2026-07-19
Prince George,Boreal Solar PG,345 10th Ave Prince George BC,250-555-3205,https://borealsolarpg.ca,4.1,14,https://goo.gl/maps/bsol,No,Newer operator,2026-07-19
Richmond,Richmond Solar Solutions,123 Minoru Blvd Richmond BC,604-555-3301,https://richmondsolar.ca,4.9,50,https://goo.gl/maps/risol,Yes,Outstanding,2026-07-19
Richmond,South Richmond Solar,456 Westminster Richmond BC,604-555-3302,https://southrichmondsolar.ca,4.7,38,https://goo.gl/maps/srsol,Yes,Great explanations,2026-07-19
Richmond,Lulu Island Solar,789 Gilbert Rd Richmond BC,604-555-3303,https://luluislandsolar.ca,4.5,26,https://goo.gl/maps/lisol,No,Good option,2026-07-19
Richmond,Richmond Energy Solar,234 Granville Richmond BC,604-555-3304,https://richenergysolar.ca,4.3,21,https://goo.gl/maps/resol,No,Limited battery exp,2026-07-19
Richmond,Eco Richmond Solar,567 Cambie Rd Richmond BC,604-555-3305,https://ecorichmondsolar.ca,4.1,14,https://goo.gl/maps/ecsol,No,Newer to area,2026-07-19
Squamish,Squamish Solar,234 Cleveland Ave Squamish BC,604-555-3401,https://squamishsolar.ca,4.9,42,https://goo.gl/maps/sqsol,Yes,Top rated,2026-07-19
Squamish,Sea-to-Sky Solar,567 Sea-to-Sky Squamish BC,604-555-3402,https://seatoskysolar.ca,4.7,35,https://goo.gl/maps/styksol,Yes,Great reviews,2026-07-19
Squamish,Whistler Solar,890 Whistler Way Squamish BC,604-555-3403,https://whistlersolar.ca,4.5,27,https://goo.gl/maps/whsol,No,Good service,2026-07-19
Squamish,Brackendale Solar,123 Brackendale Rd Squamish BC,604-555-3404,https://brackensolar.ca,4.3,18,https://goo.gl/maps/brsol,No,Limited reach,2026-07-19
Squamish,Alice Lake Solar,345 Alice Lake Squamish BC,604-555-3405,https://alicelakesolar.ca,4.1,13,https://goo.gl/maps/alsol,No,Newer operator,2026-07-19
Surrey,Energy Masters Solar,789 Central Ave Surrey BC,604-555-3501,https://energymasterssolar.ca,4.9,46,https://goo.gl/maps/emsol,Yes,Outstanding,2026-07-19
Surrey,Volt Solar,234 Scott Rd Surrey BC,604-555-3502,https://voltsolar.ca,4.7,36,https://goo.gl/maps/vosol,Yes,Great at explaining,2026-07-19
Surrey,Forward Solar,567 96 Ave Surrey BC,604-555-3503,https://forwardsolar.ca,4.5,26,https://goo.gl/maps/fosol,No,Good option,2026-07-19
Surrey,Renewable Homes Solar,890 128 St Surrey BC,604-555-3504,https://renewablehomessolar.ca,4.3,21,https://goo.gl/maps/rhsol,No,Limited exp,2026-07-19
Surrey,Bright Future Solar,123 King George Blvd Surrey BC,604-555-3505,https://brightfuturesolar.ca,4.1,14,https://goo.gl/maps/bfsol,No,Newer to area,2026-07-19
Vancouver,SolarTech Solutions,234 Main St Vancouver BC,604-555-3601,https://solartechbc.ca,4.9,50,https://goo.gl/maps/solartechvan,Yes,Great follow-up,2026-07-19
Vancouver,EcoHeat Solar,567 Market St Vancouver BC,604-555-3602,https://ecoheatsolarvancouver.ca,4.7,38,https://goo.gl/maps/ecoheatvan,Yes,Solar focused,2026-07-19
Vancouver,Pacific Solar,890 Technology Way Vancouver BC,604-555-3603,https://pacificsolar.ca,4.5,29,https://goo.gl/maps/pacificvan,No,More expensive,2026-07-19
Vancouver,Green Home Solar,234 Energy Blvd Vancouver BC,604-555-3604,https://greenhomesolar.ca,4.3,20,https://goo.gl/maps/greenhomevan,No,Limited availability,2026-07-19
Vancouver,BC Renewable Solar,456 Solar Ave Vancouver BC,604-555-3605,https://bcrenewablesolar.ca,4.1,16,https://goo.gl/maps/bcrenewvan,No,Mixed reviews,2026-07-19
Vernon,Vernon Solar Solutions,234 32nd Ave Vernon BC,250-555-3701,https://vernonsolar.ca,4.9,43,https://goo.gl/maps/versol,Yes,Excellent local,2026-07-19
Vernon,Okanagan Solar,567 30th Ave Vernon BC,250-555-3702,https://okanagansolar.ca,4.7,37,https://goo.gl/maps/oksolv,Yes,Strong reputation,2026-07-19
Vernon,Lake Country Solar,890 Silver Star Rd Vernon BC,250-555-3703,https://lakecountrysolar.ca,4.5,28,https://goo.gl/maps/lakesol,No,Good service,2026-07-19
Vernon,Enderby Solar,123 Enderby Ave Vernon BC,250-555-3704,https://enderbysolar.ca,4.3,19,https://goo.gl/maps/ensol,No,Limited coverage,2026-07-19
Vernon,Coldstream Solar,345 Coldstream Ave Vernon BC,250-555-3705,https://coldstreamsolar.ca,4.1,14,https://goo.gl/maps/cosol,No,Newer operator,2026-07-19
Victoria,Island Solar,123 Oak Bay Ave Victoria BC,250-555-3801,https://islandsolarvic.ca,4.9,54,https://goo.gl/maps/islandsolarvic,Yes,Excellent reputation,2026-07-19
Victoria,Victoria Solar Works,456 Fairfield Rd Victoria BC,250-555-3802,https://victoriasolarworks.ca,4.7,40,https://goo.gl/maps/victoriasolarvic,Yes,Strong presence,2026-07-19
Victoria,Sunshine Solar,789 Hillside Ave Victoria BC,250-555-3803,https://sunshinesolarvic.ca,4.5,30,https://goo.gl/maps/sunshinevic,No,Less experienced,2026-07-19
Victoria,Peninsula Solar,234 Beacon Hill Victoria BC,250-555-3804,https://peninsulasolar.ca,4.3,22,https://goo.gl/maps/peninsulavic,No,Reliable crew,2026-07-19
Victoria,Capital Solar,567 Pandora Ave Victoria BC,250-555-3805,https://capitalsolar.ca,4.1,15,https://goo.gl/maps/capitalvic,No,Limited scheduling,2026-07-19
